# profile=agv-01 blind run: 1 segment(s) at 637 r/min reference, 1080000 counts per wheel turn
t,dt,phase,segment,tgt_l_m,tgt_r_m,prog_l_m,prog_r_m,cnt_l,cnt_r,n_l,n_r,rpm_l,rpm_r,x_m,y_m,heading_deg,speed_mps,e_mm,has_track,loop_ms
1.5419,0.0200,running,1,1.0000,1.0000,0.1110,0.1110,7894640,8131196,466.7342,467.1009,399,401,0.1110,-0.0000,-0.0068,0.1466,,0,20.0271
1.5736,0.0316,running,1,1.0000,1.0000,0.1157,0.1156,7903460,8140066,476.2241,476.4241,464,466,0.1156,-0.0000,-0.0037,0.1496,,0,31.6328
1.5946,0.0208,running,1,1.0000,1.0000,0.1189,0.1187,7909668,8146016,482.4605,483.5205,464,466,0.1188,-0.0000,-0.0196,0.1516,,0,20.7882
1.6151,0.0200,running,1,1.0000,1.0000,0.1219,0.1218,7915437,8151912,488.4737,489.1103,464,466,0.1219,-0.0000,-0.0118,0.1535,,0,20.0438
1.6341,0.0200,running,1,1.0000,1.0000,0.1249,0.1247,7921111,8157462,494.4737,495.5237,464,466,0.1248,-0.0000,-0.0194,0.1553,,0,20.0001
1.6541,0.0201,running,1,1.0000,1.0000,0.1280,0.1278,7927007,8163375,500.5074,501.5007,464,466,0.1279,-0.0000,-0.0184,0.1572,,0,20.1124
1.6741,0.0202,running,1,1.0000,1.0000,0.1311,0.1310,7932978,8169373,506.5631,507.4664,464,466,0.1310,-0.0000,-0.0167,0.1591,,0,20.1856
1.6964,0.0209,running,1,1.0000,1.0000,0.1344,0.1343,7939276,8175656,512.8288,513.7821,464,466,0.1343,-0.0000,-0.0176,0.1611,,0,20.8857
1.7151,0.0202,running,1,1.0000,1.0000,0.1377,0.1375,7945476,8181885,518.8811,519.7378,464,466,0.1376,-0.0000,-0.0158,0.1630,,0,20.1744
1.7349,0.0201,running,1,1.0000,1.0000,0.1409,0.1407,7951598,8188015,524.9160,525.7460,464,466,0.1408,-0.0000,-0.0153,0.1649,,0,20.1165
1.7550,0.0200,running,1,1.0000,1.0000,0.1441,0.1440,7957855,8194233,530.9134,531.8734,464,466,0.1441,-0.0000,-0.0177,0.1668,,0,19.9913
1.7856,0.0307,running,1,1.0000,1.0000,0.1493,0.1491,7967622,8203977,540.1358,541.1724,524,531,0.1492,-0.0000,-0.0192,0.1697,,0,30.7412
1.8071,0.0200,running,1,1.0000,1.0000,0.1528,0.1527,7974333,8210907,546.1431,546.4498,524,531,0.1527,-0.0000,-0.0057,0.1716,,0,20.0245
1.8281,0.0220,running,1,1.0000,1.0000,0.1565,0.1563,7981398,8217794,552.7526,553.6526,524,531,0.1564,-0.0000,-0.0166,0.1737,,0,22.0315
1.8842,0.0564,running,1,1.0000,1.0000,0.1662,0.1661,7999934,8236425,569.6756,570.2590,524,531,0.1661,-0.0000,-0.0108,0.1790,,0,56.4102
1.9041,0.0200,running,1,1.0000,1.0000,0.1697,0.1696,8006604,8243157,575.6810,576.0577,524,531,0.1696,-0.0000,-0.0070,0.1809,,0,20.0180
1.9276,0.0235,running,1,1.0000,1.0000,0.1739,0.1738,8014707,8251190,582.7325,583.3425,524,531,0.1739,-0.0000,-0.0113,0.1831,,0,23.5049
1.9476,0.0199,running,1,1.0000,1.0000,0.1776,0.1775,8021658,8258150,588.7110,589.2910,524,531,0.1775,-0.0000,-0.0107,0.1849,,0,19.9285
1.9679,0.0203,running,1,1.0000,1.0000,0.1813,0.1812,8028754,8265282,594.7891,595.2491,524,531,0.1812,-0.0000,-0.0085,0.1869,,0,20.2602
2.0039,0.0350,running,1,1.0000,1.0000,0.1878,0.1879,8041260,8278026,605.2805,604.9472,593,596,0.1878,-0.0000,0.0062,0.1902,,0,34.9713
2.0251,0.0202,running,1,1.0000,1.0000,0.1920,0.1919,8049248,8285794,611.3389,611.7389,593,596,0.1920,-0.0000,-0.0074,0.1921,,0,20.1946
2.0466,0.0235,running,1,1.0000,1.0000,0.1961,0.1961,8057124,8293667,618.4014,618.8114,593,596,0.1961,-0.0000,-0.0076,0.1943,,0,23.5417
2.0666,0.0201,running,1,1.0000,1.0000,0.2000,0.1999,8064452,8300998,624.4304,624.8304,593,596,0.1999,-0.0000,-0.0074,0.1962,,0,20.0968
2.0866,0.0200,running,1,1.0000,1.0000,0.2039,0.2038,8071907,8308453,630.4277,630.8277,593,596,0.2038,-0.0000,-0.0074,0.1981,,0,19.9908
2.1073,0.0205,running,1,1.0000,1.0000,0.2079,0.2079,8079592,8316255,636.5800,636.5900,593,596,0.2079,-0.0000,-0.0002,0.2000,,0,20.5077
2.1274,0.0198,running,1,1.0000,1.0000,0.2119,0.2119,8087259,8323930,636.6198,636.6031,593,596,0.2119,-0.0000,0.0003,0.2000,,0,19.8382
2.1473,0.0203,running,1,1.0000,1.0000,0.2160,0.2159,8095010,8331550,636.6198,637.0398,593,596,0.2159,-0.0000,-0.0078,0.2000,,0,20.3080
2.1671,0.0199,running,1,1.0000,1.0000,0.2199,0.2199,8102571,8339143,636.6198,636.9331,593,596,0.2199,-0.0000,-0.0058,0.2000,,0,19.8688
