# profile=agv-01 K_RATIO=11.3 KD=0.94 KI=0.0 TAU_D=0.05 AUTO_RPM=1200.0 AUTO_SLOW_RPM=800.0 zeta=0.294 6083h=2000 6084h=3000 sw_ramp=1000.0 DRY_RUN=False
t,dt,state,e_mm,e_used,p,i,d,omega_cmd,speed_red,v_base,n_l,n_r,sat_scale,rpm_l,rpm_r,has_track,n_tracks,guard,sw_l,sw_r,loop_ms,branch,slow
1.3112,0.0201,run,-10.0000,10.0000,-0.0425,-0.0000,0.0011,0.0414,91.2115,1200.0000,1076.8019,1140.7751,1.0000,924,998,1,1,,823,1847,20.0616,straight,0
1.3313,0.0201,run,-10.0000,10.0000,-0.0426,-0.0000,0.0008,0.0418,91.3101,1200.0000,1076.3523,1141.0274,1.0000,924,998,1,1,,823,1847,20.1454,straight,0
1.3513,0.0200,run,-9.0000,9.0000,-0.0383,-0.0000,0.0140,0.0243,94.6242,1200.0000,1086.5420,1124.2096,1.0000,924,998,1,1,,823,1847,20.0195,straight,0
1.3772,0.0258,run,-9.0000,9.0000,-0.0383,-0.0000,0.0092,0.0291,96.1222,1200.0000,1081.3573,1126.3983,1.0000,1085,1128,1,1,,1847,1847,25.8349,straight,0
1.3973,0.0201,run,-9.0000,9.0000,-0.0383,-0.0000,0.0066,0.0318,96.2117,1200.0000,1079.2208,1128.3559,1.0000,1085,1128,1,1,,1847,1847,20.1156,straight,0
1.4173,0.0200,run,-9.0000,9.0000,-0.0383,-0.0000,0.0047,0.0336,95.6454,1200.0000,1078.3334,1130.3758,1.0000,1085,1128,1,1,,1847,1847,19.9982,straight,0
1.4374,0.0201,run,-9.0000,9.0000,-0.0383,-0.0000,0.0034,0.0350,94.6952,1200.0000,1078.2415,1132.3682,1.0000,1085,1128,1,1,,1847,1847,20.0998,straight,0
1.4577,0.0202,run,-9.0000,9.0000,-0.0383,-0.0000,0.0024,0.0360,93.5267,1198.3639,1077.0273,1132.6472,1.0000,1085,1128,1,1,,1847,1847,20.2242,left,1
1.4776,0.0200,run,-8.0000,8.0000,-0.0340,-0.0000,0.0151,0.0189,95.5638,1195.1410,1084.9543,1114.2000,1.0000,1085,1128,1,1,,1847,1847,20.0209,left,1
1.4977,0.0201,run,-8.0000,8.0000,-0.0339,-0.0000,0.0108,0.0232,95.7754,1190.2909,1076.6086,1112.4222,1.0000,1085,1128,1,1,,1847,1847,20.0949,left,1
1.5177,0.0201,run,-8.0000,8.0000,-0.0338,-0.0000,0.0077,0.0261,94.8350,1183.8341,1068.8078,1109.1905,1.0000,1085,1128,1,1,,1847,1847,20.0736,left,1
1.5382,0.0202,run,-8.0000,8.0000,-0.0336,-0.0000,0.0055,0.0281,93.1840,1175.6853,1060.7355,1104.2671,1.0000,1085,1128,1,1,,1847,1847,20.2399,left,1
1.5585,0.0204,run,-8.0000,8.0000,-0.0334,-0.0000,0.0039,0.0295,91.1281,1165.8321,1051.8906,1097.5175,1.0000,1085,1128,1,1,,1847,1847,20.3562,left,1
1.5861,0.0276,run,-8.0000,8.0000,-0.0331,-0.0000,0.0025,0.0306,88.0622,1149.4399,1037.7095,1085.0458,1.0000,1057,1097,1,1,,1847,1847,27.5797,left,1
1.6060,0.0200,run,-7.0000,7.0000,-0.0286,-0.0000,0.0152,0.0134,88.9267,1135.9167,1036.6622,1057.3178,1.0000,1057,1097,1,1,,1847,1847,20.0477,left,1
1.6265,0.0204,run,-7.0000,7.0000,-0.0282,-0.0000,0.0108,0.0174,88.0632,1120.5059,1018.9675,1045.9179,1.0000,1057,1097,1,1,,1847,1847,20.3826,left,1
1.6465,0.0200,run,-7.0000,7.0000,-0.0278,-0.0000,0.0077,0.0201,86.1865,1103.7665,1002.0112,1033.1489,1.0000,1057,1097,1,1,,1847,1847,20.0194,left,1
1.6666,0.0200,run,-7.0000,7.0000,-0.0274,-0.0000,0.0055,0.0219,83.7245,1085.4768,984.8020,1018.7028,1.0000,1057,1097,1,1,,1847,1847,19.9665,left,1
1.6865,0.0201,run,-7.0000,7.0000,-0.0270,-0.0000,0.0039,0.0230,80.9405,1065.4746,966.7133,1002.3550,1.0000,1057,1097,1,1,,1847,1847,20.0760,left,1
1.7066,0.0200,run,-7.0000,7.0000,-0.0265,-0.0000,0.0028,0.0237,78.0516,1045.4449,949.0865,985.7002,1.0000,1057,1097,1,1,,1847,1847,20.0297,left,1
1.7266,0.0200,run,-6.0000,6.0000,-0.0223,-0.0000,0.0154,0.0068,78.0008,1025.4063,942.1138,952.6972,1.0000,1057,1097,1,1,,1847,1847,20.0386,left,1
1.7466,0.0201,run,-6.0000,6.0000,-0.0218,-0.0000,0.0110,0.0108,76.4671,1005.3153,920.4663,937.2300,1.0000,1057,1097,1,1,,1847,1847,20.0910,left,1
1.7667,0.0201,run,-6.0000,6.0000,-0.0214,-0.0000,0.0079,0.0136,74.0724,985.2307,900.6680,921.6485,1.0000,1057,1097,1,1,,1847,1847,20.0846,left,1
1.7929,0.0262,run,-6.0000,6.0000,-0.0210,-0.0000,0.0052,0.0158,70.3050,959.0766,876.5266,901.0165,1.0000,902,923,1,1,,1847,1847,26.1541,left,1
1.8127,0.0199,run,-6.0000,6.0000,-0.0204,-0.0000,0.0037,0.0167,67.3050,939.2178,858.9654,884.8603,1.0000,902,923,1,1,,1847,1847,19.8587,left,1
1.8329,0.0201,run,-6.0000,6.0000,-0.0200,-0.0000,0.0026,0.0174,64.2734,919.1079,841.3957,868.2733,1.0000,902,923,1,1,,1847,1847,20.1099,left,1
1.8529,0.0201,run,-5.0000,5.0000,-0.0163,-0.0000,0.0153,0.0010,63.8241,899.0370,834.4226,836.0031,1.0000,902,923,1,1,,1847,1847,20.0710,left,1
1.8730,0.0201,run,-5.0000,5.0000,-0.0160,-0.0000,0.0109,0.0050,62.1452,878.9836,812.9376,820.7391,1.0000,902,923,1,1,,1847,1847,20.0533,left,1
1.8931,0.0201,run,-6.0000,6.0000,-0.0187,-0.0000,-0.0056,0.0243,60.1528,858.8487,779.8662,817.5256,1.0000,902,923,1,1,,1847,1847,20.1349,left,1
1.9132,0.0201,run,-5.0000,5.0000,-0.0152,-0.0000,0.0094,0.0058,58.2927,838.7584,775.9458,784.9855,1.0000,902,923,1,1,,1847,1847,20.0904,left,1
1.9333,0.0201,run,-5.0000,5.0000,-0.0149,-0.0000,0.0067,0.0082,55.9113,818.7066,756.4699,769.1209,1.0000,902,923,1,1,,1847,1847,20.0517,left,1
1.9533,0.0201,run,-5.0000,5.0000,-0.0145,-0.0000,0.0048,0.0097,53.2917,800.0000,739.1708,754.2458,1.0000,902,923,1,1,,1847,1847,20.0831,left,1
1.9734,0.0201,run,-5.0000,5.0000,-0.0142,-0.0000,0.0034,0.0108,50.6240,782.8993,723.9332,740.6175,1.0000,902,923,1,1,,1847,1847,20.0928,left,1
2.0000,0.0266,run,-5.0000,5.0000,-0.0139,-0.0000,0.0022,0.0117,47.2511,763.1164,706.8416,724.8891,1.0000,723,744,1,1,,1847,1847,26.5595,left,1
