# profile=agv-01 blind run: 1 segment(s) at 637 r/min reference, 1080000 counts per wheel turn
t,dt,phase,segment,tgt_l_m,tgt_r_m,prog_l_m,prog_r_m,cnt_l,cnt_r,n_l,n_r,rpm_l,rpm_r,x_m,y_m,heading_deg,speed_mps,gyro_z_dps,loop_ms
1.8087,0.0200,running,1,1.0000,1.0000,0.2778,0.2776,13594466,18076561,636.6198,638.1698,638,633,0.2777,-0.0001,-0.0287,0.2000,0.1221,20.0441
1.8289,0.0202,running,1,1.0000,1.0000,0.2819,0.2816,13602171,18084296,636.6198,638.0698,638,633,0.2818,-0.0001,-0.0269,0.2000,0.1221,20.1794
1.8490,0.0200,running,1,1.0000,1.0000,0.2859,0.2857,13609859,18092007,636.6198,637.9931,638,633,0.2858,-0.0001,-0.0254,0.2000,0.1221,20.0297
1.8689,0.0201,running,1,1.0000,1.0000,0.2899,0.2897,13617455,18099631,636.6198,637.8998,638,633,0.2898,-0.0001,-0.0237,0.2000,0.1221,20.1155
1.8889,0.0201,running,1,1.0000,1.0000,0.2939,0.2937,13625123,18107322,636.6198,637.8231,638,633,0.2938,-0.0001,-0.0223,0.2000,0.1221,20.0585
1.9092,0.0201,running,1,1.0000,1.0000,0.2979,0.2977,13632829,18115009,636.6198,637.8864,638,633,0.2978,-0.0001,-0.0235,0.2000,0.1221,20.0967
1.9295,0.0202,running,1,1.0000,1.0000,0.3020,0.3018,13640567,18122761,636.6198,637.8398,638,633,0.3019,-0.0001,-0.0226,0.2000,0.1221,20.1800
1.9491,0.0200,running,1,1.0000,1.0000,0.3059,0.3057,13648114,18130310,636.6198,637.8331,638,633,0.3058,-0.0001,-0.0225,0.2000,0.1221,19.9503
1.9699,0.0203,running,1,1.0000,1.0000,0.3100,0.3099,13655936,18138241,636.6198,637.4698,638,633,0.3100,-0.0001,-0.0157,0.2000,0.6104,20.3195
1.9957,0.0262,running,1,1.0000,1.0000,0.3152,0.3151,13665893,18148098,636.6198,637.8031,638,637,0.3151,-0.0001,-0.0219,0.2000,0.6104,26.2336
2.0160,0.0201,running,1,1.0000,1.0000,0.3193,0.3191,13673646,18155864,636.6198,637.7598,638,637,0.3192,-0.0001,-0.0211,0.2000,0.6104,20.1418
2.0367,0.0204,running,1,1.0000,1.0000,0.3234,0.3233,13681499,18163808,636.6198,637.4564,638,637,0.3233,-0.0001,-0.0155,0.2000,0.6104,20.4192
2.0565,0.0200,running,1,1.0000,1.0000,0.3274,0.3272,13689083,18171307,636.6198,637.7398,638,637,0.3273,-0.0001,-0.0207,0.2000,0.6104,20.0203
2.0764,0.0200,running,1,1.0000,1.0000,0.3314,0.3312,13696747,18178977,636.6198,637.7198,638,637,0.3313,-0.0001,-0.0204,0.2000,0.6104,20.0494
2.0964,0.0201,running,1,1.0000,1.0000,0.3354,0.3352,13704351,18186578,636.6198,637.7298,638,637,0.3353,-0.0001,-0.0206,0.2000,0.6104,20.0875
2.1170,0.0203,running,1,1.0000,1.0000,0.3395,0.3393,13712227,18194453,636.6198,637.7331,638,637,0.3394,-0.0001,-0.0206,0.2000,0.6104,20.2845
2.1370,0.0201,running,1,1.0000,1.0000,0.3435,0.3433,13719857,18202078,636.6198,637.7498,638,637,0.3434,-0.0001,-0.0209,0.2000,0.6104,20.1248
2.1571,0.0199,running,1,1.0000,1.0000,0.3475,0.3473,13727510,18209746,636.6198,637.6998,638,637,0.3474,-0.0001,-0.0200,0.2000,0.6104,19.8880
