# profile=agv-01 U-turn 180 deg ccw at 200 r/min, ends on tape, 1080000 counts per wheel turn
t,dt,phase,segment,tgt_l_m,tgt_r_m,prog_l_m,prog_r_m,cnt_l,cnt_r,n_l,n_r,rpm_l,rpm_r,x_m,y_m,heading_deg,speed_mps,e_mm,has_track,loop_ms
1.4969,0.0229,spin,1,,,,,16984842,20482297,-200.0000,200.0000,-200,201,,,20.4278,,27,1,22.9442
1.5202,0.0227,spin,1,,,,,16982121,20485043,-200.0000,200.0000,-200,202,,,20.7646,,28,1,22.6934
1.5409,0.0203,spin,1,,,,,16979603,20487615,-200.0000,200.0000,-200,202,,,21.0782,,29,1,20.3157
1.5609,0.0201,spin,1,,,,,16977118,20490126,-200.0000,200.0000,-200,202,,,21.3859,,29,1,20.0859
1.5809,0.0201,spin,1,,,,,16974645,20492606,-200.0000,200.0000,-200,202,,,21.6910,,30,1,20.1055
1.6009,0.0201,spin,1,,,,,16972192,20495059,-200.0000,200.0000,-200,202,,,21.9933,,31,1,20.0626
1.6211,0.0200,spin,1,,,,,16969788,20497636,-200.0000,200.0000,-200,202,,,22.3001,,31,1,19.9578
1.6410,0.0202,spin,1,,,,,16967322,20499947,-200.0000,200.0000,-200,202,,,22.5944,,32,1,20.2115
1.6611,0.0200,spin,1,,,,,16964877,20502480,-200.0000,200.0000,-200,202,,,22.9010,,33,1,20.0420
1.6814,0.0203,spin,1,,,,,16962403,20504926,-200.0000,200.0000,-200,202,,,23.2041,,34,1,20.3146
1.7014,0.0200,spin,1,,,,,16959996,20507326,-200.0000,200.0000,-200,202,,,23.5002,,34,1,20.0174
1.7308,0.0295,spin,1,,,,,16956519,20510747,-200.0000,200.0000,-201,200,,,23.9252,,35,1,29.4748
1.7512,0.0203,spin,1,,,,,16954053,20513267,-200.0000,200.0000,-201,200,,,24.2323,,36,1,20.2772
1.7714,0.0201,spin,1,,,,,16951684,20515647,-200.0000,200.0000,-201,200,,,24.5248,,36,1,20.1006
1.7914,0.0201,spin,1,,,,,16949262,20518057,-200.0000,200.0000,-201,200,,,24.8225,,37,1,20.1371
1.8146,0.0238,spin,1,,,,,16946372,20520829,-200.0000,200.0000,-201,200,,,25.1713,,37,1,23.7895
1.8319,0.0168,spin,1,,,,,16944407,20522886,-200.0000,200.0000,-201,200,,,25.4191,,38,1,16.8343
1.8519,0.0200,spin,1,,,,,16942000,20525287,-200.0000,200.0000,-201,200,,,25.7152,,38,1,19.9970
1.8715,0.0197,spin,1,,,,,16939640,20527636,-200.0000,200.0000,-201,200,,,26.0053,,39,1,19.7428
1.8924,0.0205,spin,1,,,,,16937206,20530102,-200.0000,200.0000,-201,200,,,26.3072,,40,1,20.5196
1.9163,0.0247,spin,1,,,,,16934242,20532937,-200.0000,200.0000,-201,200,,,26.6644,,40,1,24.6963
1.9386,0.0225,spin,1,,,,,16931594,20535577,-200.0000,200.0000,-200,199,,,26.9901,,41,1,22.5467
1.9586,0.0199,spin,1,,,,,16929216,20537976,-200.0000,200.0000,-200,199,,,27.2844,,42,1,19.9461
1.9801,0.0202,spin,1,,,,,16926797,20540434,-200.0000,200.0000,-200,199,,,27.5848,,42,1,20.2433
1.9989,0.0201,spin,1,,,,,16924374,20542813,-200.0000,200.0000,-200,199,,,27.8807,,43,1,20.0863
2.0201,0.0200,spin,1,,,,,16921949,20545267,-200.0000,200.0000,-200,199,,,28.1812,,43,1,19.9739
2.0401,0.0202,spin,1,,,,,16919498,20547682,-200.0000,200.0000,-200,199,,,28.4810,,44,1,20.2465
2.0601,0.0200,spin,1,,,,,16917072,20550110,-200.0000,200.0000,-200,199,,,28.7800,,45,1,20.0054
2.0803,0.0202,spin,1,,,,,16914628,20552600,-200.0000,200.0000,-200,199,,,29.0839,,46,1,20.1531
2.1003,0.0201,spin,1,,,,,16912223,20555015,-200.0000,200.0000,-200,199,,,29.3808,,46,1,20.0959
